num_bits,test_number,time_elapsed(ms)
1,1,0.083131
2,1,0.141533
3,1,0.228117
4,1,0.29675
5,1,0.354746
6,1,0.41765
7,1,0.504852
8,1,0.569508
9,1,0.628763
10,1,0.700462
11,1,0.774313
12,1,0.845577
13,1,0.925749
14,1,0.981811
15,1,1.04886
16,1,1.15341
1,2,0.068959
2,2,0.140877
3,2,0.212839
4,2,0.279544
5,2,0.351369
6,2,0.436067
7,2,0.489545
8,2,0.558385
9,2,0.634594
10,2,0.701179
11,2,0.788257
12,2,0.847383
13,2,0.917609
14,2,0.975027
15,2,1.05619
16,2,1.13392
1,3,0.070569
2,3,0.138977
3,3,0.208406
4,3,0.279912
5,3,0.351286
6,3,0.42241
7,3,0.487227
8,3,0.560887
9,3,0.628724
10,3,0.702638
11,3,0.769997
12,3,0.841203
13,3,0.919809
14,3,0.990839
15,3,1.06255
16,3,1.13152
1,4,0.070141
2,4,0.143567
3,4,0.210779
4,4,0.279422
5,4,0.35433
6,4,0.425333
7,4,0.493101
8,4,0.556971
9,4,0.634331
10,4,0.720332
11,4,0.791806
12,4,0.847377
13,4,0.927501
14,4,0.990928
15,4,1.05365
16,4,1.12843
1,5,0.070048
2,5,0.1393
3,5,0.211804
4,5,0.284587
5,5,0.349438
6,5,0.419024
7,5,0.494294
8,5,0.565444
9,5,0.636012
10,5,0.704556
11,5,0.774807
12,5,0.846337
13,5,0.92299
14,5,0.984138
15,5,1.05764
16,5,1.14545
1,6,0.070356
2,6,0.14026
3,6,0.216922
4,6,0.284924
5,6,0.351164
6,6,0.422272
7,6,0.495741
8,6,0.558582
9,6,0.63184
10,6,0.70462
11,6,0.778373
12,6,0.853082
13,6,0.924535
14,6,0.989075
15,6,1.04958
16,6,1.13321
1,7,0.070244
2,7,0.139504
3,7,0.207672
4,7,0.280907
5,7,0.34843
6,7,0.417603
7,7,0.489269
8,7,0.572287
9,7,0.635262
10,7,0.700151
11,7,0.773564
12,7,0.838619
13,7,0.91886
14,7,0.987107
15,7,1.05559
16,7,1.13218
1,8,0.068719
2,8,0.140005
3,8,0.217172
4,8,0.296058
5,8,0.35239
6,8,0.419259
7,8,0.49747
8,8,0.562376
9,8,0.629755
10,8,0.701746
11,8,0.77406
12,8,0.838204
13,8,0.917565
14,8,0.984274
15,8,1.05603
16,8,1.12627
1,9,0.070087
2,9,0.145018
3,9,0.208943
4,9,0.281015
5,9,0.356234
6,9,0.425309
7,9,0.490194
8,9,0.563937
9,9,0.635295
10,9,0.71813
11,9,0.779338
12,9,0.84352
13,9,0.911581
14,9,0.983545
15,9,1.07031
16,9,1.1376
1,10,0.070722
2,10,0.143443
3,10,0.213086
4,10,0.279798
5,10,0.350816
6,10,0.417997
7,10,0.498186
8,10,0.561528
9,10,0.63302
10,10,0.704392
11,10,0.772774
12,10,0.850013
13,10,0.916242
14,10,0.985367
15,10,1.06003
16,10,1.13388
