num_bits,test_number,time_elapsed(ms)
1,1,0.02592
2,1,0.165762
3,1,0.418751
4,1,0.75819
5,1,1.18718
6,1,1.73647
7,1,2.37428
8,1,3.11629
9,1,4.05543
10,1,4.83658
11,1,5.91751
12,1,7.04666
13,1,8.37875
14,1,9.49147
15,1,10.632
16,1,12.0723
1,2,0.023837
2,2,0.166166
3,2,0.402272
4,2,0.735926
5,2,1.15656
6,2,1.66392
7,2,2.26905
8,2,2.99355
9,2,3.80775
10,2,4.69865
11,2,5.69813
12,2,6.79464
13,2,7.9676
14,2,9.2295
15,2,10.6132
16,2,12.0905
1,3,0.023948
2,3,0.161936
3,3,0.398149
4,3,0.729415
5,3,1.16842
6,3,1.68101
7,3,2.28255
8,3,2.99308
9,3,3.80533
10,3,4.72477
11,3,5.68592
12,3,6.8013
13,3,7.94852
14,3,9.2034
15,3,10.5671
16,3,12.1229
1,4,0.023404
2,4,0.166659
3,4,0.398455
4,4,0.752523
5,4,1.17207
6,4,1.66437
7,4,2.30249
8,4,2.99428
9,4,3.79932
10,4,4.67875
11,4,5.68133
12,4,6.72983
13,4,8.13161
14,4,9.22264
15,4,10.5301
16,4,11.9737
1,5,0.023714
2,5,0.160896
3,5,0.394706
4,5,0.72788
5,5,1.43729
6,5,1.67524
7,5,2.31159
8,5,2.97719
9,5,3.80272
10,5,4.65938
11,5,5.63258
12,5,6.73527
13,5,7.87063
14,5,9.19454
15,5,10.5293
16,5,11.9805
1,6,0.023452
2,6,0.163954
3,6,0.406128
4,6,0.732746
5,6,1.166
6,6,1.65752
7,6,2.27303
8,6,2.98707
9,6,3.80694
10,6,4.69935
11,6,5.66065
12,6,6.71213
13,6,7.88928
14,6,9.22848
15,6,10.57
16,6,12.0491
1,7,0.024143
2,7,0.166911
3,7,0.400042
4,7,0.730061
5,7,1.16738
6,7,1.65887
7,7,2.27783
8,7,2.97006
9,7,3.77603
10,7,4.65888
11,7,5.63979
12,7,6.71073
13,7,7.90288
14,7,9.18576
15,7,10.5424
16,7,12.0637
1,8,0.025797
2,8,0.165683
3,8,0.393023
4,8,0.724498
5,8,1.1535
6,8,1.66943
7,8,2.27518
8,8,2.98362
9,8,3.78269
10,8,4.66901
11,8,5.68772
12,8,6.70699
13,8,7.94115
14,8,9.22926
15,8,10.5399
16,8,12.0207
1,9,0.0246
2,9,0.164315
3,9,0.416655
4,9,0.717954
5,9,1.15054
6,9,1.68954
7,9,2.28961
8,9,3.03118
9,9,3.78122
10,9,4.69086
11,9,5.64792
12,9,6.75471
13,9,7.94706
14,9,9.22779
15,9,10.5393
16,9,11.9985
1,10,0.023536
2,10,0.161408
3,10,0.398861
4,10,0.725985
5,10,1.14793
6,10,1.66054
7,10,2.27602
8,10,2.99605
9,10,3.78527
10,10,4.72801
11,10,5.64983
12,10,6.72256
13,10,7.89223
14,10,9.26609
15,10,10.5909
16,10,11.9816
