num_bits,test_number,time_elapsed(ms)
1,1,0.197897
2,1,0.652948
3,1,1.23732
4,1,2.07644
5,1,3.01547
6,1,4.1672
7,1,5.51221
8,1,7.13676
9,1,8.86759
10,1,10.7614
11,1,13.3207
12,1,15.2289
13,1,17.648
14,1,20.3924
15,1,23.1738
16,1,26.2513
1,2,0.187084
2,2,0.607451
3,2,1.2234
4,2,2.01732
5,2,3.02766
6,2,4.18823
7,2,5.55625
8,2,7.15243
9,2,8.81723
10,2,10.7799
11,2,12.9139
12,2,15.1049
13,2,17.6051
14,2,20.3693
15,2,23.4322
16,2,26.2644
1,3,0.202234
2,3,0.607879
3,3,1.22802
4,3,2.00886
5,3,3.02471
6,3,4.1733
7,3,5.52999
8,3,7.11353
9,3,8.86698
10,3,10.6949
11,3,12.9132
12,3,15.1632
13,3,17.6849
14,3,20.3062
15,3,23.3036
16,3,26.2494
1,4,0.184778
2,4,0.615818
3,4,1.21615
4,4,2.01274
5,4,3.03529
6,4,4.18392
7,4,5.5638
8,4,7.12074
9,4,8.82128
10,4,10.8209
11,4,12.8819
12,4,15.1611
13,4,17.6129
14,4,20.4123
15,4,23.148
16,4,26.3237
1,5,0.188825
2,5,0.612877
3,5,1.21492
4,5,2.02433
5,5,3.02424
6,5,4.16665
7,5,5.54796
8,5,7.10307
9,5,8.84466
10,5,10.7025
11,5,12.889
12,5,15.1388
13,5,17.611
14,5,20.3954
15,5,23.2504
16,5,26.2819
1,6,0.186688
2,6,0.60738
3,6,1.2167
4,6,2.02487
5,6,3.02706
6,6,4.1591
7,6,5.54684
8,6,7.15516
9,6,8.83512
10,6,10.7934
11,6,12.908
12,6,15.2212
13,6,17.6243
14,6,20.3929
15,6,23.3167
16,6,26.298
1,7,0.188126
2,7,0.608832
3,7,1.23124
4,7,2.0307
5,7,3.02849
6,7,4.18206
7,7,5.53421
8,7,7.13935
9,7,8.82113
10,7,10.7807
11,7,12.8319
12,7,15.1765
13,7,17.71
14,7,20.4768
15,7,23.2435
16,7,26.2773
1,8,0.189122
2,8,0.61076
3,8,1.21932
4,8,2.03077
5,8,3.00689
6,8,4.18492
7,8,5.58257
8,8,7.09105
9,8,8.86083
10,8,10.8242
11,8,12.8878
12,8,15.1663
13,8,17.6273
14,8,20.4299
15,8,23.2322
16,8,26.2249
1,9,0.18928
2,9,0.608667
3,9,1.22654
4,9,2.03001
5,9,3.0144
6,9,4.16906
7,9,5.51609
8,9,7.09566
9,9,8.82896
10,9,10.7879
11,9,12.8201
12,9,15.1909
13,9,17.6228
14,9,20.3396
15,9,23.1884
16,9,26.3547
1,10,0.198084
2,10,0.638334
3,10,1.22052
4,10,2.02936
5,10,3.01696
6,10,4.17406
7,10,5.54435
8,10,7.14198
9,10,8.7721
10,10,10.8017
11,10,12.8842
12,10,15.1497
13,10,17.7192
14,10,20.3198
15,10,23.283
16,10,26.2404
